"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1463","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1584","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","1596","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2098","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","2972","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2317","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-06-23","passed","2026-06-23","","test_markers","",""
"","3402","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","3099","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2847","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","11776","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2111","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","0","test_logout","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","1374","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1617","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1700","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3935","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1452","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1602","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1845","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1646","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","3691","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1751","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","1475","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","4357","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1980","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","5680","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1438","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2595","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3258","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1921","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","4851","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
