"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1621","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3459","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1939","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","5262","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","2309","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","2240","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1697","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","0","test_logout","tests.pytest","2026-06-23","passed","2026-06-23","TestUserAuthentication","test_markers","",""
"","2289","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1504","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1645","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3338","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3704","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","3215","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","4108","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1296","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","2232","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-06-23","passed","2026-06-23","","test_markers","",""
"","1308","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1919","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","2870","Create course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1457","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","6957","Registration with correct email, username and password","LMS system","2026-06-23","passed","2026-06-23","Registration","Authentication","",""
"","1462","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","3975","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","11339","User login with correct email and password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1556","User login with wrong email or password","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
"","1924","Check displaying of dashboard page","LMS system","2026-06-23","passed","2026-06-23","Dashboard","Dashboard","",""
"","4014","Edit course","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1800","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1453","Check displaying of empty courses list","LMS system","2026-06-23","passed","2026-06-23","Courses","Courses","",""
"","1349","Navigation from login page to registration page","LMS system","2026-06-23","passed","2026-06-23","Authorization","Authentication","",""
